ratio,nb,lsvc,mlp,acc_3,acc_2
"[0.9, 0.1]",0.42857142857142855,0.5428571428571428,0.5396825396825397,0.6808510638297872,0.6595744680851063
"[0.85, 0.15]",0.38461538461538464,0.5806451612903226,0.575,0.7153846153846154,0.7
"[0.8, 0.2]",0.45714285714285713,0.608,0.6491228070175439,0.7485029940119761,0.7604790419161677
"[0.75, 0.25]",0.5,0.6363636363636364,0.6944444444444444,0.7669902912621359,0.7864077669902912
"[0.7, 0.3]",0.5333333333333333,0.6467661691542289,0.7052631578947368,0.7662835249042146,0.7854406130268199
"[0.65, 0.35]",0.5098039215686274,0.6724137931034483,0.7094017094017094,0.7712418300653595,0.7777777777777778
"[0.6, 0.4]",0.5344827586206896,0.6666666666666666,0.7315175097276264,0.8,0.8028571428571428
"[0.55, 0.45]",0.5440613026819924,0.6735395189003437,0.7310344827586207,0.7964824120603015,0.8040201005025126
"[0.5, 0.5]",0.5694915254237288,0.6934984520123839,0.7088607594936709,0.7955056179775281,0.7932584269662921
"[0.45, 0.55]",0.5545171339563862,0.7089337175792507,0.7371428571428571,0.8295687885010267,0.811088295687885
"[0.4, 0.6]",0.5439093484419264,0.7046632124352331,0.7272727272727273,0.8130841121495327,0.8205607476635514
"[0.35, 0.65]",0.5511811023622047,0.6968973747016707,0.7282321899736148,0.8072289156626506,0.8227194492254734
"[0.3, 0.7]",0.5467980295566502,0.6936936936936937,0.662004662004662,0.7715654952076677,0.7827476038338658
"[0.25, 0.75]",0.5348837209302325,0.70020964360587,0.6939655172413793,0.7866666666666666,0.7881481481481482
"[0.2, 0.8]",0.5265486725663717,0.6968503937007874,0.7018867924528301,0.7812061711079944,0.7784011220196353
"[0.15, 0.85]",0.5278350515463918,0.7058823529411765,0.5517241379310345,0.7031662269129287,0.7889182058047494
"[0.1, 0.9]",0.5261044176706827,0.7054673721340388,0.6692307692307692,0.7752525252525253,0.7891414141414141
