maxIter,layer,blockSize,acc,f1,precision,recall
10,"[7, 4, 2]",16,0.6070287539936102,0.6272727272727273,0.4825174825174825,0.8961038961038961
10,"[7, 4, 2]",64,0.6964856230031949,0.5796460176991151,0.5927601809954751,0.5670995670995671
10,"[7, 4, 2]",128,0.6964856230031949,0.5796460176991151,0.5927601809954751,0.5670995670995671
10,"[7, 4, 2]",256,0.6964856230031949,0.5796460176991151,0.5927601809954751,0.5670995670995671
10,"[7, 8, 4, 2]",16,0.36900958466453676,0.5390898483080513,0.36900958466453676,1.0
10,"[7, 8, 4, 2]",64,0.6677316293929713,0.592156862745098,0.5412186379928315,0.6536796536796536
10,"[7, 8, 4, 2]",128,0.6677316293929713,0.592156862745098,0.5412186379928315,0.6536796536796536
10,"[7, 8, 4, 2]",256,0.6677316293929713,0.592156862745098,0.5412186379928315,0.6536796536796536
10,"[7, 32, 64, 16, 2]",16,0.6565495207667732,0.6069469835466179,0.5253164556962026,0.7186147186147186
10,"[7, 32, 64, 16, 2]",64,0.694888178913738,0.5526932084309133,0.6020408163265306,0.5108225108225108
10,"[7, 32, 64, 16, 2]",128,0.694888178913738,0.5526932084309133,0.6020408163265306,0.5108225108225108
10,"[7, 32, 64, 16, 2]",256,0.694888178913738,0.5526932084309133,0.6020408163265306,0.5108225108225108
100,"[7, 4, 2]",16,0.7460063897763578,0.702803738317757,0.618421052631579,0.8138528138528138
100,"[7, 4, 2]",64,0.7747603833865815,0.6602409638554216,0.7445652173913043,0.5930735930735931
100,"[7, 4, 2]",128,0.7747603833865815,0.6602409638554216,0.7445652173913043,0.5930735930735931
100,"[7, 4, 2]",256,0.7747603833865815,0.6602409638554216,0.7445652173913043,0.5930735930735931
100,"[7, 8, 4, 2]",16,0.6022364217252396,0.6300148588410104,0.4796380090497738,0.9177489177489178
100,"[7, 8, 4, 2]",64,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
100,"[7, 8, 4, 2]",128,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
100,"[7, 8, 4, 2]",256,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
100,"[7, 32, 64, 16, 2]",16,0.7795527156549521,0.7136929460580913,0.6852589641434262,0.7445887445887446
100,"[7, 32, 64, 16, 2]",64,0.7971246006389776,0.7315010570824524,0.7148760330578512,0.7489177489177489
100,"[7, 32, 64, 16, 2]",128,0.7971246006389776,0.7315010570824524,0.7148760330578512,0.7489177489177489
100,"[7, 32, 64, 16, 2]",256,0.7971246006389776,0.7315010570824524,0.7148760330578512,0.7489177489177489
500,"[7, 4, 2]",16,0.7220447284345048,0.6925795053003534,0.5850746268656717,0.8484848484848485
500,"[7, 4, 2]",64,0.7731629392971247,0.6619047619047619,0.7354497354497355,0.6017316017316018
500,"[7, 4, 2]",128,0.7731629392971247,0.6619047619047619,0.7354497354497355,0.6017316017316018
500,"[7, 4, 2]",256,0.7731629392971247,0.6619047619047619,0.7354497354497355,0.6017316017316018
500,"[7, 8, 4, 2]",16,0.6022364217252396,0.6300148588410104,0.4796380090497738,0.9177489177489178
500,"[7, 8, 4, 2]",64,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
500,"[7, 8, 4, 2]",128,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
500,"[7, 8, 4, 2]",256,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
500,"[7, 32, 64, 16, 2]",16,0.7827476038338658,0.711864406779661,0.6970954356846473,0.7272727272727273
500,"[7, 32, 64, 16, 2]",64,0.7827476038338658,0.6977777777777778,0.7168949771689498,0.6796536796536796
500,"[7, 32, 64, 16, 2]",128,0.7827476038338658,0.6977777777777778,0.7168949771689498,0.6796536796536796
500,"[7, 32, 64, 16, 2]",256,0.7827476038338658,0.6977777777777778,0.7168949771689498,0.6796536796536796
1000,"[7, 4, 2]",16,0.7220447284345048,0.6925795053003534,0.5850746268656717,0.8484848484848485
1000,"[7, 4, 2]",64,0.7763578274760383,0.6682464454976303,0.7382198952879581,0.6103896103896104
1000,"[7, 4, 2]",128,0.7763578274760383,0.6682464454976303,0.7382198952879581,0.6103896103896104
1000,"[7, 4, 2]",256,0.7763578274760383,0.6682464454976303,0.7382198952879581,0.6103896103896104
1000,"[7, 8, 4, 2]",16,0.6022364217252396,0.6300148588410104,0.4796380090497738,0.9177489177489178
1000,"[7, 8, 4, 2]",64,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1000,"[7, 8, 4, 2]",128,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1000,"[7, 8, 4, 2]",256,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1000,"[7, 32, 64, 16, 2]",16,0.7651757188498403,0.7018255578093306,0.6603053435114504,0.7489177489177489
1000,"[7, 32, 64, 16, 2]",64,0.7811501597444089,0.7091295116772823,0.6958333333333333,0.7229437229437229
1000,"[7, 32, 64, 16, 2]",128,0.7811501597444089,0.7091295116772823,0.6958333333333333,0.7229437229437229
1000,"[7, 32, 64, 16, 2]",256,0.7811501597444089,0.7091295116772823,0.6958333333333333,0.7229437229437229
1500,"[7, 4, 2]",16,0.7220447284345048,0.6925795053003534,0.5850746268656717,0.8484848484848485
1500,"[7, 4, 2]",64,0.768370607028754,0.662004662004662,0.7171717171717171,0.6147186147186147
1500,"[7, 4, 2]",128,0.768370607028754,0.662004662004662,0.7171717171717171,0.6147186147186147
1500,"[7, 4, 2]",256,0.768370607028754,0.662004662004662,0.7171717171717171,0.6147186147186147
1500,"[7, 8, 4, 2]",16,0.6022364217252396,0.6300148588410104,0.4796380090497738,0.9177489177489178
1500,"[7, 8, 4, 2]",64,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1500,"[7, 8, 4, 2]",128,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1500,"[7, 8, 4, 2]",256,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1500,"[7, 32, 64, 16, 2]",16,0.7731629392971247,0.7041666666666667,0.678714859437751,0.7316017316017316
1500,"[7, 32, 64, 16, 2]",64,0.7715654952076677,0.7051546391752578,0.6732283464566929,0.7402597402597403
1500,"[7, 32, 64, 16, 2]",128,0.7715654952076677,0.7051546391752578,0.6732283464566929,0.7402597402597403
1500,"[7, 32, 64, 16, 2]",256,0.7715654952076677,0.7051546391752578,0.6732283464566929,0.7402597402597403
1800,"[7, 4, 2]",16,0.7220447284345048,0.6925795053003534,0.5850746268656717,0.8484848484848485
1800,"[7, 4, 2]",64,0.7699680511182109,0.6619718309859155,0.7230769230769231,0.6103896103896104
1800,"[7, 4, 2]",128,0.7699680511182109,0.6619718309859155,0.7230769230769231,0.6103896103896104
1800,"[7, 4, 2]",256,0.7699680511182109,0.6619718309859155,0.7230769230769231,0.6103896103896104
1800,"[7, 8, 4, 2]",16,0.6022364217252396,0.6300148588410104,0.4796380090497738,0.9177489177489178
1800,"[7, 8, 4, 2]",64,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1800,"[7, 8, 4, 2]",128,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1800,"[7, 8, 4, 2]",256,0.6980830670926518,0.5552941176470588,0.6082474226804123,0.5108225108225108
1800,"[7, 32, 64, 16, 2]",16,0.7699680511182109,0.6896551724137931,0.6866952789699571,0.6926406926406926
1800,"[7, 32, 64, 16, 2]",64,0.7731629392971247,0.6991525423728814,0.6846473029045643,0.7142857142857143
1800,"[7, 32, 64, 16, 2]",128,0.7731629392971247,0.6991525423728814,0.6846473029045643,0.7142857142857143
1800,"[7, 32, 64, 16, 2]",256,0.7731629392971247,0.6991525423728814,0.6846473029045643,0.7142857142857143
